Tipo,Prov_Ciudad,Zona,Calle,Precio,Metros,Habitación,Baños
Piso,Barcelona,Horta,calle Horta,950,75,2,1
Piso,Barcelona,Eixample dreta,ronda Sant Pere,2550,126,4,2
Piso,Barcelona,Horta,paseo Maragall,825,80,3,1
Apartamento,Barcelona,NA,El Coll,600,45,2,1
Piso,Barcelona,NA,El Coll,650,50,2,1
Piso,Barcelona,Barcelona,calle De Cotonat,910,40,1,1
Piso,Barcelona,La Font d´en Fargues,calle Frederic Rahola,750,65,3,1
Piso,Barcelona,El Raval,calle De Balmes,3500,85,2,2
Estudio,Barcelona,La Salut,calle De Mercedes,550,31,1,0
Estudio,Barcelona,Sant Ramon-La Maternitat,calle Avinguda de Xile,850,25,1,0
Estudio,Barcelona,Barcelona,calle Avinguda del Torrent Gornal,780,20,1,0
Piso,Barcelona,Vila de Gràcia,calle Vila de Gràcia,700,40,1,1
Piso,Barcelona,El Guinardó,calle Sant Pere Dabanto,975,71,2,1
Piso,Barcelona,El Raval,calle Xucla,1000,66,2,1
Ático,Barcelona,Eixample esquerra,calle ,2800,100,2,2
Dúplex,Barcelona,NA,Sant Gervasi – Galvany,7500,325,5,3
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Doctor Roux,4600,215,5,5
Loft,Barcelona,NA,El Poble Sec-Montjuïc,1210,90,1,1
Piso,Barcelona,Fort Pienc,calle Sicilia,1100,83,3,2
Piso,Barcelona,NA,Les corts,1500,80,3,1
Apartamento,Barcelona,NA,Barcelona,1800,145,2,2
Piso,Barcelona,NA,La Sagrada Família,1100,87,3,1
Piso,Barcelona,Vila de Gràcia,calle Del Prat,1500,75,3,1
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1590,135,2,2
Piso,Barcelona,La Guineueta,paseo Valldaura,1000,90,4,1
Piso,Barcelona,NA,Eixample esquerra,1100,56,2,1
Piso,Barcelona,NA,La Sagrada Família,1000,87,3,1
Ático,Barcelona,El Guinardó,pasaje Flaugier,1200,80,3,1
Ático,Barcelona,NA,Provençals del Poblenou,1150,44,1,1
Apartamento,Barcelona,NA,El Raval,950,70,1,1
Apartamento,Barcelona,NA,Eixample esquerra,3000,185,4,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,1400,90,3,2
Piso,Barcelona,El Baix Guinardó,ronda Del Guinardó,900,85,3,1
Piso,Barcelona,NA,Eixample esquerra,1300,74,3,2
Piso,Barcelona,La Sagrada Família,calle De Los Castillejos,1100,60,2,1
Piso,Barcelona,NA,Eixample esquerra,1595,60,2,1
Piso,Barcelona,Provençals del Poblenou,calle Bac de Roda,900,52,1,1
Apartamento,Barcelona,NA,Vila de Gràcia,1200,70,3,1
Piso,Barcelona,La Salut,calle Avinguda del Coll del Portell,900,70,2,1
Apartamento,Barcelona,NA,Eixample dreta,2600,90,1,2
Piso,Barcelona,El Besòs i el Maresme,calle Diagonal,1300,70,2,1
Piso,Barcelona,NA,Eixample esquerra,1250,75,2,1
Piso,Barcelona,Sants-montjuïc,calle Dels Alts Forns,900,80,2,1
Piso,Barcelona,NA,Eixample dreta,18000,205,4,3
Piso,Barcelona,Sants,calle Puig i Valls,790,75,3,1
Piso,Barcelona,NA,Vila de Gràcia,1200,85,3,2
Piso,Barcelona,Les Roquetes-Canyelles,calle Pla de Fornells,760,60,2,1
Piso,Barcelona,NA,La Sagrada Família,1200,83,3,1
Piso,Barcelona,Sant Ramon-La Maternitat,calle Cardenal Reig,1200,90,2,1
Piso,Barcelona,NA,Sants,1600,120,4,2
Apartamento,Barcelona,NA,Barcelona,2000,105,2,2
Ático,Barcelona,NA,Zona Franca- Port,3500,123,4,2
Piso,Barcelona,Eixample dreta,calle Sicilia,950,80,3,1
Apartamento,Barcelona,NA,Eixample dreta,1200,45,2,1
Estudio,Barcelona,Ciutat  Vella,calle Santa Elena,700,36,1,1
Apartamento,Barcelona,NA,Vila de Gràcia,950,19,1,1
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,2200,129,3,2
Piso,Barcelona,NA,Ciutat  Vella,1600,31,1,1
Apartamento,Barcelona,NA,El Poble Sec-Montjuïc,970,60,2,1
Piso,Barcelona,NA,Sant Gervasi – Galvany,2500,85,2,1
Piso,Barcelona,Les corts,calle De Melcior de Palau,830,50,1,1
Piso,Barcelona,NA,Eixample esquerra,12400,90,3,2
Piso,Barcelona,Ciutat  Vella,calle D'en Roig,900,61,1,1
Ático,Barcelona,NA,Eixample dreta,2350,55,1,1
Apartamento,Barcelona,NA,Ciutat  Vella,1350,76,2,1
Apartamento,Barcelona,NA,El Putxet i Farró,15000,450,4,4
Piso,Barcelona,Les Tres Torres,ronda General Mitre,1400,90,2,2
Ático,Barcelona,NA,Eixample dreta,2350,55,1,1
Piso,Barcelona,Sant Ramon-La Maternitat,calle Cardenal Reig,1200,90,2,1
Piso,Barcelona,Eixample dreta,calle Sicilia,950,80,3,1
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Teodora Lamadrid,2100,133,3,2
Apartamento,Barcelona,NA,Barcelona,2000,105,2,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle Balsareny,2740,102,3,2
Estudio,Barcelona,Ciutat  Vella,calle Santa Elena,700,36,1,1
Piso,Barcelona,NA,El Poble Sec-Montjuïc,1200,80,3,2
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,2200,129,3,2
Ático,Barcelona,Eixample esquerra,calle Canvis Nous,1100,63,1,1
Apartamento,Barcelona,NA,El Gótic,2500,80,2,2
Piso,Barcelona,Eixample esquerra,calle Consell de Cent,1600,75,1,1
Piso,Barcelona,Sants,calle De Melcior de Palau,830,50,1,1
Piso,Barcelona,Eixample esquerra,calle Consell de Cent,1800,65,2,2
Piso,Barcelona,Ciutat  Vella,calle D'en Roig,900,61,1,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,vía Laietana,1600,75,2,2
Apartamento,Barcelona,NA,Ciutat  Vella,1350,76,2,1
Piso,Barcelona,Eixample dreta,calle Mallorca,1800,115,4,2
Piso,Barcelona,Les Tres Torres,ronda General Mitre,1400,90,2,2
Piso,Barcelona,NA,Pedralbes,2800,156,5,3
Piso,Barcelona,Eixample esquerra,calle Rossello,1995,99,2,2
Piso,Barcelona,NA,Sarrià,1350,65,2,2
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Argenter,740,21,1,1
Ático,Barcelona,NA,Sant Gervasi – La Bonanova,2200,170,3,2
Piso,Barcelona,NA,Sarrià,2400,140,3,2
Piso,Barcelona,El Raval,pasaje Sant Bernat,875,37,1,0
Piso,Barcelona,NA,Eixample dreta,1100,120,2,1
Piso,Barcelona,Eixample esquerra,calle Enric Granados,11900,674,5,2
Piso,Barcelona,Eixample esquerra,calle De Ballester,1900,80,3,2
